pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=10452
global_step=32768, SPS=12674
global_step=49152, SPS=13638
global_step=65536, SPS=14104
global_step=81920, SPS=14502
global_step=98304, SPS=14749
global_step=114688, SPS=14916
global_step=131072, SPS=15038
global_step=147456, SPS=15164
global_step=163840, SPS=15262
global_step=180224, SPS=15312
global_step=196608, SPS=15382
global_step=212992, SPS=15437
global_step=229376, SPS=15484
global_step=245760, SPS=15497
global_step=262144, SPS=15540
global_step=278528, SPS=15569
global_step=294912, SPS=15593
global_step=311296, SPS=15621
global_step=327680, SPS=15658
global_step=344064, SPS=15694
global_step=360448, SPS=15710
global_step=376832, SPS=15752
global_step=393216, SPS=15775
global_step=409600, SPS=15793
global_step=425984, SPS=15814
global_step=442368, SPS=15838
global_step=458752, SPS=15853
global_step=475136, SPS=15862
global_step=491520, SPS=15882
global_step=507904, SPS=15903
global_step=524288, SPS=15915
global_step=540672, SPS=15925
global_step=557056, SPS=15936
global_step=573440, SPS=15950
global_step=589824, SPS=15952
global_step=606208, SPS=15954
global_step=622592, SPS=15966
global_step=638976, SPS=15976
global_step=655360, SPS=15974
global_step=671744, SPS=15982
global_step=688128, SPS=15988
global_step=704512, SPS=15989
global_step=720896, SPS=15990
global_step=737280, SPS=15993
global_step=753664, SPS=15999
global_step=770048, SPS=15994
global_step=786432, SPS=15999
global_step=802816, SPS=15999
global_step=819200, SPS=15998
global_step=835584, SPS=15998
global_step=851968, SPS=16003
global_step=868352, SPS=16006
global_step=884736, SPS=16002
global_step=901120, SPS=16003
global_step=917504, SPS=16007
global_step=933888, SPS=16009
global_step=950272, SPS=16007
global_step=966656, SPS=16009
global_step=983040, SPS=16013
global_step=999424, SPS=16011
