pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=11112
global_step=32768, SPS=13924
global_step=49152, SPS=15132
global_step=65536, SPS=15756
global_step=81920, SPS=16253
global_step=98304, SPS=16573
global_step=114688, SPS=16799
global_step=131072, SPS=16960
global_step=147456, SPS=17122
global_step=163840, SPS=17251
global_step=180224, SPS=17326
global_step=196608, SPS=17411
global_step=212992, SPS=17475
global_step=229376, SPS=17537
global_step=245760, SPS=17555
global_step=262144, SPS=17607
global_step=278528, SPS=17643
global_step=294912, SPS=17670
global_step=311296, SPS=17696
global_step=327680, SPS=17735
global_step=344064, SPS=17775
global_step=360448, SPS=17785
global_step=376832, SPS=17822
global_step=393216, SPS=17848
global_step=409600, SPS=17872
global_step=425984, SPS=17891
global_step=442368, SPS=17918
global_step=458752, SPS=17940
global_step=475136, SPS=17948
global_step=491520, SPS=17971
global_step=507904, SPS=17993
global_step=524288, SPS=18006
global_step=540672, SPS=18016
global_step=557056, SPS=18034
global_step=573440, SPS=18044
global_step=589824, SPS=18051
global_step=606208, SPS=18062
global_step=622592, SPS=18078
global_step=638976, SPS=18086
global_step=655360, SPS=18088
global_step=671744, SPS=18107
global_step=688128, SPS=18118
global_step=704512, SPS=18127
global_step=720896, SPS=18140
global_step=737280, SPS=18152
global_step=753664, SPS=18165
global_step=770048, SPS=18170
global_step=786432, SPS=18184
global_step=802816, SPS=18192
global_step=819200, SPS=18200
global_step=835584, SPS=18211
global_step=851968, SPS=18223
global_step=868352, SPS=18236
global_step=884736, SPS=18245
global_step=901120, SPS=18254
global_step=917504, SPS=18272
global_step=933888, SPS=18283
global_step=950272, SPS=18291
global_step=966656, SPS=18303
global_step=983040, SPS=18317
global_step=999424, SPS=18328
