pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=10960
global_step=32768, SPS=13698
global_step=49152, SPS=14872
global_step=65536, SPS=15475
global_step=81920, SPS=15954
global_step=98304, SPS=16259
global_step=114688, SPS=16478
global_step=131072, SPS=16632
global_step=147456, SPS=16790
global_step=163840, SPS=16916
global_step=180224, SPS=16991
global_step=196608, SPS=17071
global_step=212992, SPS=17132
global_step=229376, SPS=17194
global_step=245760, SPS=17211
global_step=262144, SPS=17261
global_step=278528, SPS=17294
global_step=294912, SPS=17318
global_step=311296, SPS=17342
global_step=327680, SPS=17380
global_step=344064, SPS=17419
global_step=360448, SPS=17428
global_step=376832, SPS=17464
global_step=393216, SPS=17489
global_step=409600, SPS=17512
global_step=425984, SPS=17529
global_step=442368, SPS=17557
global_step=458752, SPS=17579
global_step=475136, SPS=17586
global_step=491520, SPS=17610
global_step=507904, SPS=17630
global_step=524288, SPS=17645
global_step=540672, SPS=17654
global_step=557056, SPS=17671
global_step=573440, SPS=17678
global_step=589824, SPS=17681
global_step=606208, SPS=17691
global_step=622592, SPS=17704
global_step=638976, SPS=17710
global_step=655360, SPS=17710
global_step=671744, SPS=17726
global_step=688128, SPS=17736
global_step=704512, SPS=17742
global_step=720896, SPS=17754
global_step=737280, SPS=17764
global_step=753664, SPS=17776
global_step=770048, SPS=17779
global_step=786432, SPS=17793
global_step=802816, SPS=17800
global_step=819200, SPS=17807
global_step=835584, SPS=17816
global_step=851968, SPS=17828
global_step=868352, SPS=17839
global_step=884736, SPS=17846
global_step=901120, SPS=17855
global_step=917504, SPS=17872
global_step=933888, SPS=17882
global_step=950272, SPS=17889
global_step=966656, SPS=17901
global_step=983040, SPS=17915
global_step=999424, SPS=17925
