pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=11069
global_step=32768, SPS=13852
global_step=49152, SPS=15052
global_step=65536, SPS=15671
global_step=81920, SPS=16161
global_step=98304, SPS=16475
global_step=114688, SPS=16695
global_step=131072, SPS=16857
global_step=147456, SPS=17018
global_step=163840, SPS=17147
global_step=180224, SPS=17218
global_step=196608, SPS=17301
global_step=212992, SPS=17364
global_step=229376, SPS=17431
global_step=245760, SPS=17449
global_step=262144, SPS=17499
global_step=278528, SPS=17534
global_step=294912, SPS=17560
global_step=311296, SPS=17586
global_step=327680, SPS=17625
global_step=344064, SPS=17664
global_step=360448, SPS=17674
global_step=376832, SPS=17712
global_step=393216, SPS=17737
global_step=409600, SPS=17762
global_step=425984, SPS=17780
global_step=442368, SPS=17807
global_step=458752, SPS=17829
global_step=475136, SPS=17838
global_step=491520, SPS=17862
global_step=507904, SPS=17883
global_step=524288, SPS=17898
global_step=540672, SPS=17908
global_step=557056, SPS=17926
global_step=573440, SPS=17937
global_step=589824, SPS=17944
global_step=606208, SPS=17957
global_step=622592, SPS=17973
global_step=638976, SPS=17981
global_step=655360, SPS=17984
global_step=671744, SPS=18003
global_step=688128, SPS=18015
global_step=704512, SPS=18023
global_step=720896, SPS=18037
global_step=737280, SPS=18048
global_step=753664, SPS=18062
global_step=770048, SPS=18066
global_step=786432, SPS=18082
global_step=802816, SPS=18089
global_step=819200, SPS=18098
global_step=835584, SPS=18109
global_step=851968, SPS=18122
global_step=868352, SPS=18134
global_step=884736, SPS=18143
global_step=901120, SPS=18153
global_step=917504, SPS=18171
global_step=933888, SPS=18182
global_step=950272, SPS=18191
global_step=966656, SPS=18203
global_step=983040, SPS=18218
global_step=999424, SPS=18230
