pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=11297
global_step=32768, SPS=14132
global_step=49152, SPS=15374
global_step=65536, SPS=15993
global_step=81920, SPS=16498
global_step=98304, SPS=16826
global_step=114688, SPS=17053
global_step=131072, SPS=17217
global_step=147456, SPS=17381
global_step=163840, SPS=17514
global_step=180224, SPS=17587
global_step=196608, SPS=17673
global_step=212992, SPS=17737
global_step=229376, SPS=17802
global_step=245760, SPS=17819
global_step=262144, SPS=17871
global_step=278528, SPS=17906
global_step=294912, SPS=17935
global_step=311296, SPS=17959
global_step=327680, SPS=17999
global_step=344064, SPS=18039
global_step=360448, SPS=18048
global_step=376832, SPS=18086
global_step=393216, SPS=18113
global_step=409600, SPS=18137
global_step=425984, SPS=18155
global_step=442368, SPS=18183
global_step=458752, SPS=18207
global_step=475136, SPS=18216
global_step=491520, SPS=18241
global_step=507904, SPS=18262
global_step=524288, SPS=18277
global_step=540672, SPS=18286
global_step=557056, SPS=18305
global_step=573440, SPS=18316
global_step=589824, SPS=18322
global_step=606208, SPS=18334
global_step=622592, SPS=18350
global_step=638976, SPS=18359
global_step=655360, SPS=18361
global_step=671744, SPS=18381
global_step=688128, SPS=18393
global_step=704512, SPS=18401
global_step=720896, SPS=18415
global_step=737280, SPS=18428
global_step=753664, SPS=18441
global_step=770048, SPS=18445
global_step=786432, SPS=18461
global_step=802816, SPS=18470
global_step=819200, SPS=18478
global_step=835584, SPS=18490
global_step=851968, SPS=18503
global_step=868352, SPS=18516
global_step=884736, SPS=18525
global_step=901120, SPS=18535
global_step=917504, SPS=18552
global_step=933888, SPS=18564
global_step=950272, SPS=18572
global_step=966656, SPS=18584
global_step=983040, SPS=18600
global_step=999424, SPS=18611
