pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=11422
global_step=32768, SPS=14349
global_step=49152, SPS=15631
global_step=65536, SPS=16291
global_step=81920, SPS=16819
global_step=98304, SPS=17156
global_step=114688, SPS=17399
global_step=131072, SPS=17575
global_step=147456, SPS=17746
global_step=163840, SPS=17885
global_step=180224, SPS=17966
global_step=196608, SPS=18057
global_step=212992, SPS=18123
global_step=229376, SPS=18190
global_step=245760, SPS=18209
global_step=262144, SPS=18265
global_step=278528, SPS=18302
global_step=294912, SPS=18333
global_step=311296, SPS=18360
global_step=327680, SPS=18402
global_step=344064, SPS=18444
global_step=360448, SPS=18453
global_step=376832, SPS=18494
global_step=393216, SPS=18522
global_step=409600, SPS=18547
global_step=425984, SPS=18566
global_step=442368, SPS=18595
global_step=458752, SPS=18617
global_step=475136, SPS=18626
global_step=491520, SPS=18650
global_step=507904, SPS=18672
global_step=524288, SPS=18688
global_step=540672, SPS=18698
global_step=557056, SPS=18717
global_step=573440, SPS=18729
global_step=589824, SPS=18735
global_step=606208, SPS=18748
global_step=622592, SPS=18765
global_step=638976, SPS=18773
global_step=655360, SPS=18776
global_step=671744, SPS=18794
global_step=688128, SPS=18807
global_step=704512, SPS=18815
global_step=720896, SPS=18829
global_step=737280, SPS=18841
global_step=753664, SPS=18855
global_step=770048, SPS=18859
global_step=786432, SPS=18875
global_step=802816, SPS=18884
global_step=819200, SPS=18892
global_step=835584, SPS=18904
global_step=851968, SPS=18917
global_step=868352, SPS=18930
global_step=884736, SPS=18939
global_step=901120, SPS=18949
global_step=917504, SPS=18967
global_step=933888, SPS=18979
global_step=950272, SPS=18989
global_step=966656, SPS=19001
global_step=983040, SPS=19016
global_step=999424, SPS=19028
