pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=11245
global_step=32768, SPS=14097
global_step=49152, SPS=15388
global_step=65536, SPS=16044
global_step=81920, SPS=16560
global_step=98304, SPS=16901
global_step=114688, SPS=17136
global_step=131072, SPS=17310
global_step=147456, SPS=17477
global_step=163840, SPS=17613
global_step=180224, SPS=17692
global_step=196608, SPS=17781
global_step=212992, SPS=17851
global_step=229376, SPS=17920
global_step=245760, SPS=17938
global_step=262144, SPS=17992
global_step=278528, SPS=18029
global_step=294912, SPS=18058
global_step=311296, SPS=18085
global_step=327680, SPS=18126
global_step=344064, SPS=18167
global_step=360448, SPS=18177
global_step=376832, SPS=18215
global_step=393216, SPS=18243
global_step=409600, SPS=18268
global_step=425984, SPS=18286
global_step=442368, SPS=18315
global_step=458752, SPS=18338
global_step=475136, SPS=18347
global_step=491520, SPS=18372
global_step=507904, SPS=18394
global_step=524288, SPS=18408
global_step=540672, SPS=18417
global_step=557056, SPS=18435
global_step=573440, SPS=18447
global_step=589824, SPS=18453
global_step=606208, SPS=18465
global_step=622592, SPS=18482
global_step=638976, SPS=18490
global_step=655360, SPS=18493
global_step=671744, SPS=18512
global_step=688128, SPS=18525
global_step=704512, SPS=18533
global_step=720896, SPS=18547
global_step=737280, SPS=18560
global_step=753664, SPS=18574
global_step=770048, SPS=18579
global_step=786432, SPS=18595
global_step=802816, SPS=18603
global_step=819200, SPS=18612
global_step=835584, SPS=18623
global_step=851968, SPS=18636
global_step=868352, SPS=18649
global_step=884736, SPS=18659
global_step=901120, SPS=18669
global_step=917504, SPS=18687
global_step=933888, SPS=18699
global_step=950272, SPS=18708
global_step=966656, SPS=18720
global_step=983040, SPS=18736
global_step=999424, SPS=18747
