
libgomp: Invalid value for environment variable OMP_WAIT_POLICY
OMP: Warning #42: OMP_WAIT_POLICY: "default" is an invalid value; ignored.

libgomp: Invalid value for environment variable OMP_WAIT_POLICY
pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=11432
global_step=32768, SPS=14340
global_step=49152, SPS=15614
global_step=65536, SPS=16273
global_step=81920, SPS=16801
global_step=98304, SPS=17134
global_step=114688, SPS=17367
global_step=131072, SPS=17539
global_step=147456, SPS=17709
global_step=163840, SPS=17844
global_step=180224, SPS=17926
global_step=196608, SPS=18015
global_step=212992, SPS=18081
global_step=229376, SPS=18147
global_step=245760, SPS=18165
global_step=262144, SPS=18220
global_step=278528, SPS=18257
global_step=294912, SPS=18288
global_step=311296, SPS=18314
global_step=327680, SPS=18356
global_step=344064, SPS=18397
global_step=360448, SPS=18407
global_step=376832, SPS=18446
global_step=393216, SPS=18474
global_step=409600, SPS=18500
global_step=425984, SPS=18519
global_step=442368, SPS=18547
global_step=458752, SPS=18570
global_step=475136, SPS=18579
global_step=491520, SPS=18604
global_step=507904, SPS=18626
global_step=524288, SPS=18640
global_step=540672, SPS=18650
global_step=557056, SPS=18669
global_step=573440, SPS=18681
global_step=589824, SPS=18686
global_step=606208, SPS=18698
global_step=622592, SPS=18715
global_step=638976, SPS=18723
global_step=655360, SPS=18725
global_step=671744, SPS=18745
global_step=688128, SPS=18757
global_step=704512, SPS=18766
global_step=720896, SPS=18780
global_step=737280, SPS=18792
global_step=753664, SPS=18806
global_step=770048, SPS=18810
global_step=786432, SPS=18826
global_step=802816, SPS=18835
global_step=819200, SPS=18844
global_step=835584, SPS=18855
global_step=851968, SPS=18868
global_step=868352, SPS=18881
global_step=884736, SPS=18890
global_step=901120, SPS=18900
global_step=917504, SPS=18918
global_step=933888, SPS=18930
global_step=950272, SPS=18939
global_step=966656, SPS=18952
global_step=983040, SPS=18967
global_step=999424, SPS=18978
